Ticker,H_ret_DFA,H_absret_DFA,H_vol_DFA,H_ret_RS,R2_absret,Temporal_r
AAPL,0.485,0.81,0.934,0.506,0.994,0.759
ABT,0.416,0.803,0.875,0.511,0.993,0.818
ADBE,0.476,0.766,0.836,0.45,0.997,0.591
ADP,0.447,0.834,0.837,0.521,0.993,0.518
AMAT,0.495,0.794,0.863,0.462,0.993,0.681
AMZN,0.462,0.805,0.93,0.456,0.993,0.561
AVGO,0.404,0.754,0.855,0.462,0.994,0.612
BLK,0.485,0.871,0.895,0.536,0.992,0.58
BMY,0.505,0.66,0.999,0.503,0.998,0.45
BRK-B,0.467,0.827,0.898,0.494,0.993,0.719
CMCSA,0.479,0.789,0.888,0.463,0.992,0.715
COST,0.456,0.774,0.863,0.514,0.992,0.769
CRM,0.469,0.797,0.825,0.446,0.994,0.657
CVX,0.471,0.885,0.97,0.494,0.99,0.83
DHR,0.468,0.686,0.85,0.49,0.994,0.802
DIS,0.529,0.806,0.861,0.532,0.994,0.809
GOOGL,0.453,0.772,0.838,0.435,0.995,0.745
GS,0.514,0.811,0.851,0.495,0.993,0.672
HD,0.463,0.845,0.817,0.528,0.994,0.841
INTC,0.463,0.72,0.902,0.48,0.996,0.738
INTU,0.437,0.847,0.816,0.432,0.994,0.544
ISRG,0.474,0.785,0.808,0.489,0.995,0.8
JNJ,0.424,0.803,0.86,0.479,0.994,0.235
JPM,0.503,0.866,0.89,0.477,0.994,0.901
KO,0.441,0.875,0.86,0.476,0.991,0.649
LLY,0.446,0.682,0.878,0.495,0.996,0.64
LOW,0.465,0.795,0.814,0.515,0.991,0.879
MA,0.384,0.86,0.864,0.462,0.992,0.869
MCD,0.453,0.838,0.872,0.494,0.994,0.789
MDLZ,0.419,0.784,0.846,0.504,0.995,0.508
META,0.519,0.755,0.947,0.452,0.992,-0.421
MRK,0.448,0.762,0.912,0.467,0.994,0.756
MS,0.509,0.815,0.866,0.483,0.993,0.883
MSFT,0.425,0.815,0.909,0.444,0.997,0.892
NEE,0.444,0.827,0.873,0.472,0.992,0.613
NFLX,0.525,0.779,0.973,0.468,0.987,0.439
NKE,0.459,0.756,0.838,0.484,0.991,0.453
NVDA,0.522,0.785,0.978,0.472,0.993,0.721
PEP,0.403,0.825,0.891,0.487,0.992,0.856
PFE,0.45,0.79,0.944,0.512,0.997,0.788
PG,0.454,0.831,0.896,0.493,0.994,0.475
QCOM,0.483,0.748,0.849,0.497,0.995,0.507
RTX,0.482,0.875,0.997,0.508,0.993,0.824
SCHW,0.512,0.769,0.903,0.515,0.997,0.639
TMO,0.426,0.781,0.826,0.483,0.994,0.776
TXN,0.429,0.793,0.847,0.457,0.995,0.637
UNH,0.404,0.79,0.96,0.466,0.99,0.537
UPS,0.469,0.684,0.849,0.506,0.994,0.658
V,0.376,0.873,0.829,0.44,0.993,0.747
WMT,0.445,0.74,0.862,0.48,0.997,0.785
